food,food_id,nutrient_id,fcdb_param,us_value,us_n,us_src,us_cv_wan,dk_value,dk_n,dk_cv_wan,dk_source
chicken liver,10002,1003,Protein,16.92,4,sr,0.033,19.1054054054054,36,0.0421,"1127, 1840, 1312"
chicken liver,10002,1004,Fat,4.83,4,sr,0.3236,4.19642857142857,28,0.1244,"1818, 1840"
chicken liver,10002,1007,Ash,1.06,4,sr,0.0674,1.36666666666667,36,0.1004,"1127, 1840"
chicken liver,10002,1051,Water,76.46,4,sr,0.0169,74.9333333333333,36,0.0136,"1127, 1840"
chicken liver,10002,1105,Retinol,3290.0,4,sr,0.1434,9371.42857142857,42,0.2232,"1076, 1127, 1840"
chicken liver,10002,1109,alpha-Tocopherol,0.7,8,sr,0.3237,0.35,2,1.0179,1034
chicken liver,10002,1165,Thiamin (Vitamin B1),0.305,4,sr,0.0391,0.48,2,0.1467,1019
chicken liver,10002,1166,Riboflavin (Vitamin B2),1.778,4,sr,0.1635,3.4,4,0.0981,1022
chicken liver,10002,1167,Niacin,9.728,4,sr,0.075,10.2,0,,1344
chicken liver,10002,1175,Vitamin B6,0.853,4,sr,0.0972,0.8,4,0.2413,1025
chicken liver,10002,1170,Pantothenic acid,6.233,4,sr,0.1093,6.0,0,,1352
chicken liver,10002,1177,Folate,588.0,4,sr,0.1767,2700.0,6,,1803
chicken liver,10002,1178,Vitamin B12,16.58,4,sr,0.207,21.0,3,0.0904,1044
chicken liver,10002,1093,Sodium,71.0,4,sr,0.1678,67.0,3,0.0206,1058
chicken liver,10002,1092,Potassium,230.0,4,sr,0.1264,255.0,3,0.1353,1058
chicken liver,10002,1087,Calcium,8.0,4,sr,0.2979,8.0,0,,1344
chicken liver,10002,1090,Magnesium,19.0,4,sr,0.0502,19.0,3,0.0424,1058
chicken liver,10002,1089,Iron,8.99,4,sr,0.1007,9.14761904761905,42,0.2183,"1043, 1127, 1840"
chicken liver,10002,1098,Copper,0.492,4,sr,0.4117,0.51,25,3.2793,1102
chicken liver,10002,1095,Zinc,2.67,4,sr,0.0393,2.9,25,0.4126,1102
chicken liver,10002,1101,Manganese,0.255,4,sr,0.1159,0.255,4,0.1159,1938
chicken liver,10002,1103,Selenium,54.6,4,sr,0.3509,50.4905882352941,85,0.183,"1886, 1888, 1907, 1909"
chicken liver,10002,1091,Phosphorus,297.0,4,sr,0.061,320.0,0,,1344
beef liver,10013,1003,Protein,20.36,4,sr,0.0157,20.3,48,0.0531,"1070, 1840"
beef liver,10013,1004,Fat,3.63,4,sr,0.1221,3.03823529411765,51,0.2632,"1818, 1070, 1840"
beef liver,10013,1007,Ash,1.31,4,sr,0.1492,1.355,48,0.0845,"1070, 1840"
beef liver,10013,1051,Water,70.81,4,sr,0.0054,71.95,48,0.0197,"1070, 1840"
beef liver,10013,1105,Retinol,4948.0,4,sr,0.5952,15500.0,24,0.5451,1840
beef liver,10013,1112,Vitamin D3,1.2,46,sr,0.0942,0.13,1,,1057
beef liver,10013,1109,alpha-Tocopherol,0.38,8,sr,0.1468,0.42,0,,1344
beef liver,10013,1165,Thiamin (Vitamin B1),0.189,4,sr,0.0857,0.17,1,,1045
beef liver,10013,1166,Riboflavin (Vitamin B2),2.755,4,sr,0.0571,3.0,1,,1045
beef liver,10013,1167,Niacin,13.175,4,sr,0.1664,17.0,10,0.0761,1018
beef liver,10013,1175,Vitamin B6,1.083,4,sr,0.0352,1.0,4,0.0515,1025
beef liver,10013,1170,Pantothenic acid,7.173,4,sr,0.0678,7.7,0,,1352
beef liver,10013,1177,Folate,290.0,4,sr,0.3418,2300.0,6,,1803
beef liver,10013,1178,Vitamin B12,59.3,4,sr,0.1406,110.0,3,0.1098,1044
beef liver,10013,1093,Sodium,69.0,4,sr,0.0622,65.0,1,,1045
beef liver,10013,1092,Potassium,313.0,4,sr,0.0244,300.0,1,,1045
beef liver,10013,1087,Calcium,5.0,4,sr,,4.15,6,0.1354,1015
beef liver,10013,1090,Magnesium,18.0,4,sr,0.0265,21.0,4,0.1135,1348
beef liver,10013,1089,Iron,4.9,4,sr,0.2111,6.05,48,0.3747,"1070, 1840"
beef liver,10013,1098,Copper,9.755,4,sr,0.2853,6.4,1,,1045
beef liver,10013,1095,Zinc,4.0,4,sr,0.1859,3.7,1,,1045
beef liver,10013,1101,Manganese,0.31,4,sr,0.1276,0.38,4,0.1756,1348
beef liver,10013,1103,Selenium,39.7,4,sr,0.2653,37.4,14,0.4518,1888
beef liver,10013,1091,Phosphorus,387.0,4,sr,0.032,348.0,6,0.0594,1015
beef top round,10021,1003,Protein,23.7,12,fnd,0.0348,21.1,3,0.0245,1045
beef top round,10021,1004,Fat,2.41,12,fnd,0.4695,8.6,3,0.1672,1045
beef top round,10021,1007,Ash,1.11,12,fnd,0.0716,1.0,0,,1003
beef top round,10021,1051,Water,73.3,12,fnd,0.0192,69.3,0,,1003
beef top round,10021,1109,alpha-Tocopherol,0.21,2,fnd,0.0808,0.29,0,,1003
beef top round,10021,1165,Thiamin (Vitamin B1),0.064,1,sr,,0.05,3,0.207,1045
beef top round,10021,1166,Riboflavin (Vitamin B2),0.25,2,fnd,0.0679,0.17,3,0.2875,1045
beef top round,10021,1167,Niacin,6.16,2,fnd,0.0454,6.0,0,,1003
beef top round,10021,1175,Vitamin B6,0.626,2,fnd,0.0312,0.5,0,,1003
beef top round,10021,1178,Vitamin B12,1.62,2,fnd,0.0052,1.4,0,,1044
beef top round,10021,1089,Iron,2.34,1,sr,,2.2,3,0.0941,1045
beef top round,10021,1101,Manganese,0.003,1,sr,,0.011,32,0.2199,1348
beef chuck,10035,1003,Protein,18.4,0,fnd,,18.8333333333333,6,0.0544,2176
beef chuck,10035,1004,Fat,17.8,8,fnd,0.4254,13.1166666666667,6,0.1844,2176
beef chuck,10035,1007,Ash,0.8938,8,fnd,0.1365,0.876666666666667,6,0.0668,2176
beef chuck,10035,1051,Water,63.43,8,fnd,0.0906,67.1733333333333,6,0.0413,2176
beef chuck,10035,1165,Thiamin (Vitamin B1),0.1,0,sr,,0.04,3,0.1294,1045
beef chuck,10035,1166,Riboflavin (Vitamin B2),0.17,0,sr,,0.185,3,0.373,1045
beef chuck,10035,1093,Sodium,48.44,8,fnd,0.0684,62.0,0,,1003
beef chuck,10035,1092,Potassium,281.1,8,fnd,0.1414,310.0,0,,1003
beef chuck,10035,1087,Calcium,4.576,8,fnd,0.3383,5.27,6,0.2835,1015
beef chuck,10035,1090,Magnesium,16.99,8,fnd,0.0985,21.0,0,,1003
beef chuck,10035,1089,Iron,2.059,8,fnd,0.1253,2.2,3,0.1412,1045
beef chuck,10035,1098,Copper,0.05405,8,fnd,0.1509,0.07,0,,1003
beef chuck,10035,1095,Zinc,5.386,8,fnd,0.0984,4.4,0,,1003
beef chuck,10035,1101,Manganese,0.0,8,fnd,,0.011,32,0.2199,1348
beef chuck,10035,1103,Selenium,16.3,0,sr,,6.5,85,1.6074,1532
beef chuck,10035,1091,Phosphorus,151.0,8,fnd,0.1062,175.0,6,0.0468,1015
pork shoulder,10038,1003,Protein,18.73,12,sr,0.0715,19.6285714285714,42,0.0304,"1832, 1336"
pork shoulder,10038,1004,Fat,5.71,12,sr,0.1532,5.3,18,0.2227,1832
pork shoulder,10038,1007,Ash,0.88,12,sr,0.1425,1.03,0,,1324
pork shoulder,10038,1051,Water,74.31,12,sr,0.0139,74.0,18,0.0152,1832
pork shoulder,10038,1165,Thiamin (Vitamin B1),0.558,12,sr,0.2285,0.62,2,0.2463,1032
pork shoulder,10038,1166,Riboflavin (Vitamin B2),0.384,12,sr,0.1696,0.23,2,0.1106,1032
pork shoulder,10038,1167,Niacin,4.387,12,sr,0.1624,3.7,0,,1003
pork shoulder,10038,1175,Vitamin B6,0.521,4,sr,0.1153,0.35,0,,1003
pork shoulder,10038,1170,Pantothenic acid,1.567,4,sr,0.146,0.6,0,,1352
pork shoulder,10038,1177,Folate,0.0,0,sr,,2.1,4,0.8624,1071
pork shoulder,10038,1178,Vitamin B12,0.91,4,sr,0.11,0.65,0,,1001
pork shoulder,10038,1093,Sodium,65.0,12,sr,0.0753,76.0,0,,1003
pork shoulder,10038,1092,Potassium,339.0,12,sr,0.0686,360.0,0,,1003
pork shoulder,10038,1087,Calcium,14.0,12,sr,0.415,7.0,0,,1003
pork shoulder,10038,1090,Magnesium,22.0,12,sr,0.0695,24.0,0,,1003
pork shoulder,10038,1089,Iron,1.2,12,sr,0.0561,0.83,2,0.1226,1032
pork shoulder,10038,1098,Copper,0.102,12,sr,0.1109,0.1,266,0.3891,1102
pork shoulder,10038,1095,Zinc,3.36,12,sr,0.0646,3.6,266,0.339,1102
pork shoulder,10038,1101,Manganese,0.013,12,sr,0.2823,0.014,0,,1348
pork shoulder,10038,1103,Selenium,28.2,12,sr,0.373,10.9,0,,1917
pork shoulder,10038,1091,Phosphorus,202.0,12,sr,0.0681,160.0,2,,1032
pork loin,10037,1003,Protein,21.11875,0,fnd,,22.34,42,0.0329,"1832, 1336"
pork loin,10037,1004,Fat,9.469,8,fnd,0.5283,1.9,18,0.4911,1832
pork loin,10037,1007,Ash,1.074,8,fnd,0.0552,1.06,0,,1324
pork loin,10037,1051,Water,68.82,8,fnd,0.0481,74.7,18,0.0136,1832
pork loin,10037,1165,Thiamin (Vitamin B1),0.426,0,sr,,0.81,4,0.2295,1032
pork loin,10037,1166,Riboflavin (Vitamin B2),0.181,0,sr,,0.195,4,0.0244,1032
pork loin,10037,1177,Folate,0.0,0,sr,,2.1,4,0.8624,1071
pork loin,10037,1093,Sodium,40.2,8,fnd,0.0919,83.0,0,,1003
pork loin,10037,1092,Potassium,361.2,8,fnd,0.083,400.0,0,,1003
pork loin,10037,1087,Calcium,4.111,8,fnd,0.1705,7.0,0,,1003
pork loin,10037,1090,Magnesium,21.96,8,fnd,0.0889,26.0,0,,1003
pork loin,10037,1089,Iron,0.4519,8,fnd,0.2469,0.71,4,0.1007,1032
pork loin,10037,1098,Copper,0.0382,8,fnd,0.2975,0.1,266,0.3891,1102
pork loin,10037,1095,Zinc,1.57,8,fnd,0.2576,3.6,266,0.339,1102
pork loin,10037,1103,Selenium,26.5,0,sr,,6.9,231,7.8147,1102
pork loin,10037,1091,Phosphorus,196.8,8,fnd,0.0514,195.0,4,0.0244,1032
salmon farmed,10014,1003,Protein,20.31875,0,fnd,,15.8479166666667,24,0.1003,"2068, 2131"
salmon farmed,10014,1004,Fat,13.11,8,fnd,0.1489,18.325,12,0.2036,2131
salmon farmed,10014,1007,Ash,1.224,8,fnd,0.0456,1.14125,24,0.2903,"2068, 2131"
salmon farmed,10014,1051,Water,65.84,8,fnd,0.0327,64.6858333333333,24,0.0397,"2068, 2131"
