score,decision,prep,n_obs,source_dataset,source_food_id,description,reasons
0.0,drop,other,23,sr28,21260,"TACO BELL, Original Taco with beef, cheese and lettuce",-brand -dish/prepared -multi-ingredient
0.0,drop,other,25,fdc_sr_legacy,169036,"CARRABBA'S ITALIAN GRILL, cheese ravioli with marinara sauce",-dish/prepared -multi-ingredient
0.0,drop,other,23,sr28,21295,"PIZZA HUT 14"" Cheese Pizza, THIN 'N CRISPY Crust",-brand -dish/prepared
0.0,drop,other,24,fdc_sr_legacy,173287,"PAPA JOHN'S 14"" Cheese Pizza, Thin Crust",-brand -dish/prepared
0.0,drop,other,28,sr28,36056,"Restaurant, Mexican, cheese tamales",-fastfood/babyfood/restaurant
0.0,drop,other,24,fdc_sr_legacy,170732,"TACO BELL, Soft Taco with chicken, cheese and lettuce",-brand -dish/prepared -multi-ingredient
0.0,drop,other,24,fdc_sr_legacy,170788,"Fast foods, breadstick, soft, prepared with garlic and parmesan cheese",-fastfood/babyfood/restaurant -multi-ingredient
0.0,drop,other,28,fdc_sr_legacy,173284,"PAPA JOHN'S 14"" Cheese Pizza, Original Crust",-brand -dish/prepared
0.0,drop,other,20,sr28,21061,"Fast foods, burrito, with beans and cheese",-fastfood/babyfood/restaurant -dish/prepared -multi-ingredient
0.0,drop,other,25,sr28,21290,"LITTLE CAESARS 14"" Cheese Pizza, Large Deep Dish Crust",-brand -dish/prepared
0.0,drop,other,24,sr28,16167,"USDA Commodity, Peanut Butter, smooth",-fastfood/babyfood/restaurant
0.0,drop,other,26,sr28,21080,"Fast foods, nachos, with cheese, beans, ground beef, and tomatoes",-fastfood/babyfood/restaurant -multi-ingredient
0.0,drop,other,28,sr28,21064,"Fast foods, burrito, with beans, cheese, and beef",-fastfood/babyfood/restaurant -dish/prepared -multi-ingredient
0.0,drop,other,26,fdc_sr_legacy,168078,"DENNY'S, macaroni & cheese, from kid's menu",-brand -dish/prepared
0.0,drop,other,22,sr28,21279,"DOMINO'S 14"" Cheese Pizza, Crunchy Thin Crust",-brand -dish/prepared
0.0,drop,other,23,fdc_sr_legacy,170332,"TACO BELL, Original Taco with beef, cheese and lettuce",-brand -dish/prepared -multi-ingredient
0.0,drop,other,4,sr28,12088,"Nuts, cashew butter, plain, without salt added",-plant-analog(wrong-class)
0.0,drop,other,30,sr28,21301,"Fast Food, Pizza Chain, 14"" pizza, cheese topping, thin crust",-fastfood/babyfood/restaurant -dish/prepared
0.0,drop,other,29,sr28,21159,"SUBWAY, steak & cheese sub on white bread with American cheese, lettuce and tomato",-brand -dish/prepared -multi-ingredient
0.0,drop,other,23,fdc_sr_legacy,170722,"WENDY'S, CLASSIC SINGLE Hamburger, no cheese",-brand -dish/prepared
0.0,drop,other,27,sr28,21512,"PIZZA HUT 14"" Cheese Pizza, Stuffed Crust",-brand -dish/prepared
0.0,drop,other,21,sr28,21278,"DOMINO'S 14"" Cheese Pizza, Ultimate Deep Dish Crust",-brand -dish/prepared
