food_id,nutrient_id,source,source_food_id,source_food,param,value,n,min,max,cv_wan,source_refs
10002,1003,FCDB 6.1,712,"Liver, broiler or fryer, raw",Protein,19.1054054054054,36,17.9,21.3,0.042083,"1127, 1840, 1312"
10002,1004,FCDB 6.1,712,"Liver, broiler or fryer, raw",Fat,4.19642857142857,28,3.5,5.6,0.124377,"1818, 1840"
10002,1007,FCDB 6.1,712,"Liver, broiler or fryer, raw",Ash,1.36666666666667,36,1.22,1.8,0.100358,"1127, 1840"
10002,1051,FCDB 6.1,712,"Liver, broiler or fryer, raw",Water,74.9333333333333,36,73.0,77.3,0.01357,"1127, 1840"
10002,1089,FCDB 6.1,712,"Liver, broiler or fryer, raw",Iron,9.14761904761905,42,4.51,13.2,0.218325,"1043, 1127, 1840"
10002,1101,FCDB 6.1,712,"Liver, broiler or fryer, raw",Manganese,0.255,4,0.236,0.298,0.115876,1938
10002,1103,FCDB 6.1,712,"Liver, broiler or fryer, raw",Selenium,50.4905882352941,85,31.5,76.6,0.182995,"1886, 1888, 1907, 1909"
10002,1106,FCDB 6.1,712,"Liver, broiler or fryer, raw",Retinol,9371.42857142857,42,5100.0,14200.0,0.223166,"1076, 1127, 1840"
10002,1166,FCDB 6.1,712,"Liver, broiler or fryer, raw",Riboflavin (Vitamin B2),3.4,4,3.04,3.74,0.09812,1022
10002,1175,FCDB 6.1,712,"Liver, broiler or fryer, raw",Vitamin B6,0.8,4,0.665,1.07,0.241271,1025
10009,1089,FCDB 6.1,387,"Mussel, raw",Iron,7.7,5,1.0,12.7,0.643978,1368
10009,1091,FCDB 6.1,387,"Mussel, raw",Phosphorus,145.0,4,102.0,170.0,0.223502,1367
10009,1095,FCDB 6.1,387,"Mussel, raw",Zinc,3.4,4,2.0,4.5,0.35043,1368
10009,1098,FCDB 6.1,387,"Mussel, raw",Copper,0.22,6,0.02,0.36,0.602962,1368
10009,1103,FCDB 6.1,387,"Mussel, raw",Selenium,46.0,11,29.7,65.1,0.241513,1812
10010,1003,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Protein,11.98828125,16,10.5,12.6875,0.051579,2071
10010,1004,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Fat,9.403125,16,8.2,9.9,0.051105,2071
10010,1007,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Ash,1.041875,16,0.99,1.09,0.027131,2071
10010,1051,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Water,76.45,16,75.8,77.5,0.006286,2071
10010,1087,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Calcium,50.375,16,46.0,61.0,0.084171,2071
10010,1088,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Chloride,193.8125,16,186.0,213.0,0.039379,2071
10010,1089,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Iron,1.781875,16,1.59,2.43,0.133256,2071
10010,1090,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Magnesium,11.5,16,11.0,12.0,0.02458,2071
10010,1091,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Phosphorus,174.625,16,163.0,215.0,0.084175,2071
10010,1092,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Potassium,132.1875,16,122.0,141.0,0.04063,2071
10010,1093,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Sodium,137.375,16,130.0,151.0,0.043211,2071
10010,1095,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Zinc,1.245,16,1.13,1.49,0.081737,2071
10010,1098,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Copper,0.0595,16,0.053,0.073,0.095016,2071
10010,1100,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Iodine,25.875,16,19.0,41.0,0.240341,2071
10010,1101,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Manganese,0.0391875,16,0.031,0.055,0.173121,2071
10010,1103,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Selenium,19.875,16,11.0,28.0,0.241784,2071
10010,1106,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Retinol,198.4375,16,168.0,221.0,0.075498,2071
10010,1109,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",alpha-Tocopherol,3.36875,16,2.4,5.3,0.24334,2071
10010,1110,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Vitamin D3,1.316,5,1.2,1.51,0.099835,2071
10010,1165,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Thiamin (Vitamin B1),0.076375,16,0.062,0.087,0.092528,2071
10010,1166,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Riboflavin (Vitamin B2),0.42375,16,0.37,0.46,0.060037,2071
10010,1167,FCDB 6.1,1662,"Eggs, chicken, battery hens, raw",Niacin,0.08,9,0.07,0.1,0.125489,2071
