final,and_rule,disagree,hard_veto,kw_score,kw_keep,llm_score,llm_keep,prep,n_obs,source_dataset,source_food_id,description,kw_reasons,llm_reason,wrong_class
DROP,DROP,,,0.05,,0.00,,other,14,sr28,18223,"Crackers, milk",-dish/prepared,"Crackers, baked composite product",plant
DROP,DROP,,,0.05,,0.00,,other,17,sr28,19421,"Snacks, potato chips, cheese-flavor",-dish/prepared,"Potato chips snack, not dairy",plant
DROP,DROP,Y,,0.65,Y,0.00,,other,27,fdc_sr_legacy,169771,"Taquitos, frozen, chicken and cheese, oven-heated",,"Taquitos, composite frozen dish",
DROP,DROP,,,0.05,,0.00,,other,27,fdc_sr_legacy,167530,"Crackers, cream, Gamesa Sabrosas",-dish/prepared,Branded crackers,plant
DROP,DROP,,Y,0.00,,0.00,,other,21,sr28,21278,"DOMINO'S 14"" Cheese Pizza, Ultimate Deep Dish Crust",-brand -dish/prepared,"Branded pizza, composite dish",
DROP,DROP,,,0.05,,0.00,,other,1,fdc_sr_legacy,171660,"Cereals, CREAM OF WHEAT, instant, dry",-dish/prepared,"Cream of Wheat cereal, not dairy",plant
DROP,DROP,,,0.05,,0.00,,other,28,fdc_sr_legacy,173336,"Burrito, bean and cheese, frozen",-dish/prepared,"Burrito, composite dish",
DROP,DROP,,Y,0.00,,0.00,,other,26,fdc_sr_legacy,172042,"PIZZA HUT 12"" Cheese Pizza, THIN 'N CRISPY Crust",-brand -dish/prepared,"Branded pizza, composite dish",
DROP,DROP,,,0.05,,0.00,,other,25,fdc_sr_legacy,173327,"HOT POCKETS Ham 'N Cheese Stuffed Sandwich, frozen",-dish/prepared,"Hot Pockets sandwich, composite",
DROP,DROP,,Y,0.05,,0.00,,other,19,sr28,1161,"Cheese substitute, mozzarella",-imitation,"Cheese substitute, imitation product",
DROP,DROP,,Y,0.00,,0.00,,other,25,fdc_sr_legacy,172047,"LITTLE CAESARS 14"" Original Round Cheese Pizza, Regular Crust",+cut/part -brand -dish/prepared,"Branded pizza, composite dish",
DROP,DROP,,Y,0.00,,0.00,,other,23,fdc_sr_legacy,170727,"BURGER KING, WHOPPER, no cheese",-brand -dish/prepared,"Whopper burger, fast food dish",
DROP,DROP,,,0.05,,0.00,,other,15,fdc_sr_legacy,170244,"Snacks, corn-based, extruded, puffs or twists, cheese-flavor, unenriched",-dish/prepared,"Corn puffs snack, not dairy",plant
DROP,DROP,Y,,0.65,Y,0.00,,other,4,sr28,14130,"Carbonated beverage, cream soda",,"Cream soda beverage, not dairy",
DROP,DROP,Y,,0.65,Y,0.00,,other,25,sr28,16398,"Peanut butter, smooth style, without salt",,"Peanut butter, plant not dairy",plant
DROP,DROP,Y,,0.65,Y,0.00,,other,26,fdc_sr_legacy,174266,"Peanut butter, smooth style, with salt (Includes foods for USDA's Food Distribution Program)",,"Peanut butter, plant not dairy",plant
DROP,DROP,,,0.05,,0.00,,other,25,fdc_sr_legacy,173341,"Macaroni and cheese, dry mix, prepared with 2% milk and 80% stick margarine from dry mix",-dish/prepared,"Macaroni and cheese, composite dish",
DROP,DROP,,Y,0.00,,0.00,,other,22,fdc_sr_legacy,170323,"WENDY'S, Jr. Hamburger, without cheese",-brand -dish/prepared,"Fast food hamburger, composite dish",
DROP,DROP,,Y,0.00,,0.00,,other,31,fdc_foundation,2257046,"Oat milk, unsweetened, plain, refrigerated",-plant-analog(wrong-class),"Oat milk, plant not dairy",plant
DROP,DROP,,Y,0.00,,0.00,,other,26,sr28,21078,"Fast foods, nachos, with cheese",-fastfood/babyfood/restaurant -multi-ingredient,"Fast food nachos, composite dish",
DROP,DROP,,Y,0.00,,0.00,,other,26,fdc_sr_legacy,170292,"Fast foods, nachos, with cheese, beans, ground beef, and tomatoes",-fastfood/babyfood/restaurant -multi-ingredient,"Nachos with beef, composite dish",
DROP,DROP,,,0.05,,0.00,,other,5,sr28,8106,"Cereals, CREAM OF WHEAT, instant, dry",-dish/prepared,"Cream of Wheat cereal, not dairy",plant
DROP,DROP,,Y,0.00,,0.00,,other,28,sr28,21283,"PAPA JOHN'S 14"" Cheese Pizza, Original Crust",-brand -dish/prepared,"Branded pizza, composite dish",
DROP,DROP,,Y,0.00,,0.00,,other,29,fdc_sr_legacy,172032,"Fast foods, english muffin, with cheese and sausage",-fastfood/babyfood/restaurant -dish/prepared -multi-ingredient,"Fast food muffin sandwich, composite",
DROP,DROP,,Y,0.00,,0.00,,other,24,sr28,21262,"TACO BELL, Soft Taco with chicken, cheese and lettuce",-brand -dish/prepared -multi-ingredient,"Taco Bell soft taco, composite dish",
DROP,DROP,,Y,0.00,,0.00,,other,29,fdc_sr_legacy,173292,"Fast Food, Pizza Chain, 14"" pizza, cheese topping, regular crust",-fastfood/babyfood/restaurant -dish/prepared,"Fast food pizza, composite dish",
DROP,DROP,,Y,0.00,,0.00,,other,29,sr28,21299,"Fast Food, Pizza Chain, 14"" pizza, cheese topping, regular crust",-fastfood/babyfood/restaurant -dish/prepared,"Fast food pizza, composite dish",
DROP,DROP,,Y,0.00,,0.00,,other,29,sr28,36052,"Restaurant, Mexican, cheese quesadilla",-fastfood/babyfood/restaurant,"Restaurant quesadilla, composite dish",
DROP,DROP,,,0.05,,0.00,,other,7,sr28,18241,"Croissants, cheese",-dish/prepared,"Cheese croissant, composite pastry",
DROP,DROP,,Y,0.00,,0.00,,other,34,fdc_foundation,1750337,"Soy milk, unsweetened, plain, shelf stable",-plant-analog(wrong-class),"Soy milk, plant not dairy",plant
DROP,DROP,,,0.05,,0.00,,other,23,fdc_sr_legacy,174984,"Crackers, standard snack-type, sandwich, with peanut butter filling",-dish/prepared,"Peanut butter crackers, composite snack",plant
DROP,DROP,,Y,0.00,,0.00,,other,27,sr28,21511,"Fast Food, Pizza Chain, 14"" pizza, cheese topping, stuffed crust",-fastfood/babyfood/restaurant -dish/prepared,"Fast food stuffed pizza, composite",
