ingredient_class,final,and_rule,disagree,hard_veto,kw_score,kw_keep,llm_score,llm_keep,prep,n_obs,source_dataset,source_food_id,description,kw_reasons,llm_reason,wrong_class
dairy,DROP,DROP,Y,,0.65,Y,0.00,,other,27,fdc_sr_legacy,169771,"Taquitos, frozen, chicken and cheese, oven-heated",,"Taquitos, composite frozen dish",
dairy,DROP,DROP,Y,,0.65,Y,0.00,,other,4,sr28,14130,"Carbonated beverage, cream soda",,"Cream soda beverage, not dairy",
dairy,DROP,DROP,Y,,0.65,Y,0.00,,other,25,sr28,16398,"Peanut butter, smooth style, without salt",,"Peanut butter, plant not dairy",plant
dairy,DROP,DROP,Y,,0.65,Y,0.00,,other,26,fdc_sr_legacy,174266,"Peanut butter, smooth style, with salt (Includes foods for USDA's Food Distribution Program)",,"Peanut butter, plant not dairy",plant
dairy,DROP,DROP,Y,,0.65,Y,0.00,,other,21,sr28,19120,"Candies, milk chocolate",,"Milk chocolate candy, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.01,,other,27,sr28,36049,"ON THE BORDER, cheese enchilada",,Branded enchilada dish,
dairy,DROP,DROP,Y,,0.65,Y,0.01,,other,13,sr28,18418,"Cake, pound, commercially prepared, other than all butter, unenriched",,Pound cake,
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,13,sr28,18103,"Coffeecake, cheese",,"Coffeecake, baked composite dish",plant
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,25,fdc_sr_legacy,169034,"ON THE BORDER, cheese quesadilla",,"Restaurant quesadilla, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,29,fdc_sr_legacy,172704,"Cake, pound, commercially prepared, butter (includes fresh and frozen)",,"Pound cake, baked composite",plant
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,17,sr28,18121,"Cake, pound, commercially prepared, other than all butter, enriched",,"Pound cake, baked good",
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,20,sr28,11940,"Pickles, cucumber, sweet (includes bread and butter pickles)",,"Sweet pickles, vegetable not dairy",plant
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,29,sr28,32007,"Taquitos, frozen, beef and cheese, oven-heated",,Frozen beef cheese taquitos,
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,29,fdc_sr_legacy,169772,"Taquitos, frozen, beef and cheese, oven-heated",,Frozen beef cheese taquitos,
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,27,sr28,32006,"Taquitos, frozen, chicken and cheese, oven-heated",,Frozen chicken cheese taquitos,
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,20,fdc_sr_legacy,169378,"Pickles, cucumber, sweet (includes bread and butter pickles)",,Sweet pickles,plant
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,16,sr28,19132,"Candies, milk chocolate, with almonds",,Milk chocolate candy with almonds,
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,11,sr28,19126,"Candies, milk chocolate coated peanuts",,Chocolate-coated peanut candy,
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,8,sr28,19127,"Candies, milk chocolate coated raisins",,Chocolate-coated raisin candy,
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,23,sr28,16399,"Peanut butter with omega-3, creamy",,"Peanut butter, not dairy",plant
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,1,sr28,12169,"Seeds, sesame butter, paste",,"Sesame paste, not dairy",plant
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,20,fdc_sr_legacy,170155,"Seeds, sunflower seed butter, without salt",,"Sunflower seed butter, not dairy",plant
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,24,sr28,16097,"Peanut butter, chunk style, with salt",,"Peanut butter, not dairy",plant
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,13,sr28,7032,Ham and cheese loaf or roll,,Ham and cheese loaf composite,
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,16,fdc_sr_legacy,174119,"Beverages, coffee, ready to drink, iced, mocha, milk based",,Coffee beverage composite,
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,25,sr28,36051,"ON THE BORDER, cheese quesadilla",,Restaurant quesadilla,
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,27,fdc_sr_legacy,169854,"ON THE BORDER, cheese enchilada",,Restaurant enchilada,
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,10,sr28,19701,"Candies, semisweet chocolate, made with butter",,Chocolate candy composite,
dairy,DROP,DROP,Y,,0.65,Y,0.02,,other,29,sr28,18120,"Cake, pound, commercially prepared, butter (includes fresh and frozen)",,"Pound cake, composite baked good",
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,13,sr28,11948,"Pickles, cucumber, sweet, low sodium (includes bread and butter pickles)",,"Sweet pickles, wrong class",plant
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,16,sr28,14183,"Beverages, coffee, ready to drink, iced, mocha, milk based",,Iced mocha coffee beverage composite,
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,10,fdc_foundation,2758989,"Peanut butter, Creamy",,"Peanut butter, nut not dairy",plant
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,32,fdc_foundation,2262072,"Peanut butter, creamy",,"Peanut butter, nut not dairy",plant
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,21,fdc_sr_legacy,168595,"Seeds, sunflower seed butter, with salt added (Includes foods for USDA's Food Distribution Program)",,"Sunflower seed butter, seed not dairy",plant
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,25,fdc_sr_legacy,172470,"Peanut butter, smooth style, without salt",,"Peanut butter, a legume",plant
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,23,fdc_sr_legacy,172469,"Peanut butter, chunk style, without salt",,"Peanut butter, a legume",plant
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,21,sr28,12040,"Seeds, sunflower seed butter, without salt",,Sunflower seed butter,plant
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,22,fdc_foundation,324860,"Peanut butter, smooth style, with salt",,"Peanut butter, legume",plant
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,24,fdc_sr_legacy,174265,"Peanut butter, chunk style, with salt",,"Peanut butter, legume",plant
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,21,fdc_sr_legacy,167587,"Candies, milk chocolate",,Milk chocolate candy,
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,13,sr28,14179,"Beverages, coffee, ready to drink, milk based, sweetened",,Sweetened coffee beverage,
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,23,sr28,16397,"Peanut butter, chunk style, without salt",,"Peanut butter, legume",plant
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,10,sr28,1110,"Milk shakes, thick chocolate",,"Milkshake, composite dessert",
dairy,DROP,DROP,Y,,0.65,Y,0.03,,other,32,fdc_foundation,2262073,"Sesame butter, creamy",,"Sesame butter, seed product",plant
dairy,DROP,DROP,Y,,0.65,Y,0.05,,other,26,sr28,16098,"Peanut butter, smooth style, with salt",,"Peanut butter, processed, wrong class",plant
dairy,DROP,DROP,Y,,0.65,Y,0.05,,other,22,sr28,12540,"Seeds, sunflower seed butter, with salt added",,"Sunflower seed butter, wrong class",plant
dairy,DROP,DROP,Y,,0.65,Y,0.05,,other,11,sr28,1111,"Milk shakes, thick vanilla",,"Vanilla milkshake, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.05,,other,9,sr28,1102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",,"Chocolate flavored milk, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.05,,other,13,fdc_sr_legacy,171880,"Beverages, coffee, ready to drink, milk based, sweetened",,"Sweetened coffee drink, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.05,,other,19,sr28,7033,Ham and cheese spread,,"Ham and cheese spread, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.05,,other,24,fdc_sr_legacy,174294,"Peanut Butter, smooth (Includes foods for USDA's Food Distribution Program)",,"Peanut butter, legume product",plant
dairy,DROP,DROP,Y,,0.65,Y,0.08,,other,18,sr28,1290,"Kefir, lowfat, strawberry, LIFEWAY",,"Strawberry kefir, branded flavored",
dairy,DROP,DROP,Y,,0.65,Y,0.08,,other,19,sr28,1281,"Yogurt, Greek, nonfat, strawberry, CHOBANI",,Branded flavored yogurt,
dairy,DROP,DROP,Y,,0.65,Y,0.08,,other,16,fdc_sr_legacy,171301,"Kefir, lowfat, strawberry, LIFEWAY",,Branded flavored kefir,
dairy,DROP,DROP,Y,,0.65,Y,0.08,,other,18,fdc_sr_legacy,171297,"Yogurt, Greek, strawberry, DANNON OIKOS",,Branded flavored Greek yogurt,
dairy,DROP,DROP,Y,,0.65,Y,0.08,,other,20,sr28,1278,"Yogurt, Greek, nonfat, vanilla, DANNON OIKOS",,Branded flavored Greek yogurt,
dairy,DROP,DROP,Y,,0.65,Y,0.08,,other,18,sr28,1275,"Yogurt, Greek, nonfat, vanilla, CHOBANI",,Branded flavored Greek yogurt,
