final,and_rule,disagree,hard_veto,kw_score,kw_keep,llm_score,llm_keep,prep,n_obs,source_dataset,source_food_id,description,kw_reasons,llm_reason,wrong_class
DROP,DROP,,,0.40,,0.02,,other,25,sr28,32021,"Spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)",-multi-ingredient,"Spanish rice mix, prepared composite dish",plant
DROP,DROP,Y,,0.65,Y,0.02,,other,23,sr28,35142,"Frybread, made with lard (Navajo)",,"Frybread, composite dish",plant
DROP,DROP,,,0.05,,0.02,,other,26,sr28,25014,"Snacks, popcorn, microwave, regular (butter) flavor, made with partially hydrogenated oil",-dish/prepared,Popcorn snack with hydrogenated oil; composite snack.,snack
DROP,DROP,Y,,0.65,Y,0.02,,other,23,sr28,25026,"Popcorn, microwave, regular (butter) flavor, made with palm oil",,"Microwave popcorn snack; composite, not pure oil.",snack
DROP,DROP,Y,,0.65,Y,0.02,,other,22,sr28,35185,"Frybread, made with lard (Apache)",,"Frybread, composite dish",plant
DROP,DROP,,,0.05,,0.02,,other,2,sr28,19705,"Puddings, banana, dry mix, instant, with added oil",-dish/prepared,"Banana pudding mix, composite product",
DROP,DROP,,,0.05,,0.02,,other,4,sr28,19710,"Puddings, vanilla, dry mix, regular, with added oil",-dish/prepared,"Vanilla pudding mix, composite product",
DROP,DROP,Y,,0.65,Y,0.02,,other,23,fdc_sr_legacy,173141,"Popcorn, microwave, regular (butter) flavor, made with palm oil",,"Microwave popcorn snack; composite, not pure oil.",snack
DROP,DROP,Y,,0.65,Y,0.02,,other,22,fdc_sr_legacy,167655,"Frybread, made with lard (Apache)",,"Frybread, composite dish",plant
DROP,DROP,Y,,0.65,Y,0.02,,other,23,fdc_sr_legacy,167635,"Frybread, made with lard (Navajo)",,"Frybread, a prepared dish",plant
DROP,DROP,,,0.05,,0.02,,other,26,fdc_sr_legacy,174785,"Snacks, popcorn, microwave, regular (butter) flavor, made with partially hydrogenated oil",-dish/prepared,Popcorn snack with hydrogenated oil; composite snack.,snack
DROP,DROP,,,0.05,,0.02,,other,2,sr28,19706,"Puddings, banana, dry mix, regular, with added oil",-dish/prepared,"Banana pudding dry mix, composite dessert",
DROP,DROP,,,0.40,,0.02,,other,25,fdc_sr_legacy,169777,"Spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)",-multi-ingredient,"Spanish rice mix, prepared dish",plant
DROP,DROP,,Y,0.05,,0.03,,other,11,sr28,1068,"Cream substitute, liquid, with lauric acid oil and sodium caseinate",-imitation,Cream substitute with caseinate; composite branded product.,
DROP,DROP,,,0.05,,0.03,,other,20,sr28,19035,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",-dish/prepared,"Microwave popcorn snack, prepared",plant
DROP,DROP,,,0.05,,0.03,,other,18,fdc_sr_legacy,167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",-dish/prepared,"Microwave popcorn snack, prepared",plant
DROP,DROP,Y,,0.65,Y,0.03,,other,10,sr28,1060,"Milk, filled, fluid, with lauric acid oil",,Filled milk with lauric oil; composite imitation product.,
DROP,DROP,,Y,0.00,,0.03,,other,9,sr28,1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",-imitation -multi-ingredient,Cream substitute with soy protein; composite branded product.,
DROP,DROP,Y,,0.65,Y,0.04,,other,13,fdc_sr_legacy,171443,"Mayonnaise, reduced fat, with olive oil",,"Mayonnaise, composite emulsion product",
DROP,DROP,Y,,0.65,Y,0.04,,other,13,sr28,4708,"Mayonnaise, reduced fat, with olive oil",,"Mayonnaise, composite emulsion product",
DROP,DROP,,,0.05,,0.04,,other,19,sr28,19807,"Snacks, popcorn, oil-popped, white popcorn, salt added",-dish/prepared,"Popcorn snack, not oil",plant
DROP,DROP,,,0.05,,0.05,,other,1,fdc_sr_legacy,171010,"Salad dressing, mayonnaise, soybean and safflower oil, with salt",-dish/prepared,"Mayonnaise, composite emulsified dressing",
DROP,DROP,,,0.05,,0.05,,other,3,sr28,4026,"Salad dressing, mayonnaise, soybean and safflower oil, with salt",-dish/prepared,"Mayonnaise, composite emulsified dressing",
DROP,DROP,,Y,0.05,,0.10,,other,5,sr28,4673,"Margarine-like spread, SMART BALANCE Regular Buttery Spread with flax oil",-brand,"Branded SMART BALANCE spread, composite",
DROP,DROP,,Y,0.05,,0.10,,other,5,fdc_sr_legacy,172371,"Margarine-like spread, SMART BALANCE Regular Buttery Spread with flax oil",-brand,"Branded SMART BALANCE spread, composite",
DROP,DROP,Y,,0.65,Y,0.12,,other,12,fdc_sr_legacy,173588,"Margarine, margarine-type vegetable oil spread, 70% fat, soybean and partially hydrogenated soybean, stick",,"Margarine spread, processed hydrogenated blend",
DROP,DROP,Y,,0.65,Y,0.12,,other,14,sr28,4629,"Margarine, margarine-type vegetable oil spread, 70% fat, soybean and partially hydrogenated soybean, stick",,"Margarine spread, processed hydrogenated blend",
DROP,DROP,Y,,0.65,Y,0.13,,other,10,sr28,4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",,"Margarine spread, processed multi-ingredient",
DROP,DROP,Y,,0.65,Y,0.13,,other,16,sr28,4690,"Margarine-like, vegetable oil spread, approximately 37% fat, unspecified oils, with salt, with added vitamin D",,"Margarine spread, processed multi-ingredient",
DROP,DROP,Y,,0.65,Y,0.13,,other,6,sr28,4693,"Margarine-like, vegetable oil spread, 60% fat, stick, with salt, with added vitamin D",,"Margarine spread, processed multi-ingredient",
DROP,DROP,Y,,0.65,Y,0.13,,other,10,fdc_sr_legacy,171038,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",,"Margarine spread, processed multi-ingredient",
DROP,DROP,Y,,0.65,Y,0.14,,other,1,sr28,4614,"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, with salt",,"Margarine spread, processed multi-ingredient",
DROP,DROP,Y,,0.65,Y,0.14,,other,9,fdc_sr_legacy,172348,"Margarine-like, vegetable oil spread, 60% fat, stick, with salt",,"Margarine spread, processed multi-ingredient",
DROP,DROP,Y,,0.65,Y,0.14,,other,9,fdc_sr_legacy,173582,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",,"Margarine spread, processed multi-ingredient",
