final,and_rule,disagree,hard_veto,kw_score,kw_keep,llm_score,llm_keep,prep,n_obs,source_dataset,source_food_id,description,kw_reasons,llm_reason,wrong_class
DROP,DROP,,Y,0.05,,0.01,,other,11,fdc_sr_legacy,173610,"Margarine-like spread, SMART BALANCE Omega Plus Spread (with plant sterols & fish oil)",-brand,Branded margarine spread,fat_oil
DROP,DROP,,,0.05,,0.01,,other,23,fdc_sr_legacy,175056,"Crackers, saltines, low salt (includes oyster, soda, soup)",-dish/prepared,"Saltine crackers, grain product",plant
DROP,DROP,,,0.05,,0.01,,other,23,sr28,18425,"Crackers, saltines, low salt (includes oyster, soda, soup)",-dish/prepared,"Saltine crackers, grain product",plant
DROP,DROP,,,0.05,,0.01,,other,28,fdc_sr_legacy,172746,"Crackers, saltines (includes oyster, soda, soup)",-dish/prepared,"Saltine crackers, grain product",plant
DROP,DROP,Y,,0.75,Y,0.01,,other,19,sr28,21232,"McDONALD'S, FILET-O-FISH",+cut/part,"McDonald's Filet-O-Fish, branded fast food",
DROP,DROP,Y,,0.75,Y,0.01,,other,19,fdc_sr_legacy,170319,"McDONALD'S, FILET-O-FISH",+cut/part,"McDonald's Filet-O-Fish, branded",
DROP,DROP,,Y,0.00,,0.01,,other,13,sr28,6545,CAMPBELL'S Homestyle New England Clam Chowder,-brand -dish/prepared,"Campbell's clam chowder, branded soup",
DROP,DROP,,Y,0.00,,0.01,,other,16,sr28,6431,"CAMPBELL'S CHUNKY, New England Clam Chowder",-brand -dish/prepared,"Campbell's clam chowder, branded soup",
DROP,DROP,,Y,0.05,,0.01,,other,11,sr28,4677,"Margarine-like spread, SMART BALANCE Omega Plus Spread (with plant sterols & fish oil)",-brand,"Branded margarine spread, not fish",fat_oil
DROP,DROP,,Y,0.00,,0.02,,other,16,fdc_sr_legacy,174556,"CAMPBELL'S CHUNKY, New England Clam Chowder",-brand -dish/prepared,Branded clam chowder soup,
DROP,DROP,,Y,0.00,,0.02,,other,28,fdc_sr_legacy,170299,"Fast foods, submarine sandwich, tuna on white bread with lettuce and tomato",-fastfood/babyfood/restaurant -dish/prepared,Fast food tuna sandwich,
DROP,DROP,,,0.05,,0.02,,other,19,sr28,36606,"CRACKER BARREL, farm raised catfish platter",-dish/prepared,Restaurant catfish platter,
DROP,DROP,,Y,0.00,,0.02,,other,28,sr28,21214,"SUBWAY, tuna sub on white bread with lettuce and tomato",-brand -dish/prepared,Subway tuna sandwich,
DROP,DROP,,Y,0.00,,0.02,,other,30,fdc_sr_legacy,168080,"Restaurant, Chinese, shrimp and vegetables",-fastfood/babyfood/restaurant,Restaurant shrimp with vegetables,
DROP,DROP,,Y,0.00,,0.02,,other,19,fdc_sr_legacy,170330,"BURGER KING, Premium Fish Sandwich",-brand -dish/prepared,Burger King fish sandwich,
DROP,DROP,,Y,0.00,,0.02,,other,19,sr28,21258,"BURGER KING, Premium Fish Sandwich",-brand -dish/prepared,Burger King fish sandwich,
DROP,DROP,,Y,0.00,,0.02,,other,25,sr28,21106,"Fast foods, fish sandwich, with tartar sauce and cheese",-fastfood/babyfood/restaurant -dish/prepared -multi-ingredient,Fast food fish sandwich,
DROP,DROP,,Y,0.00,,0.02,,other,28,fdc_sr_legacy,170316,"SUBWAY, tuna sub on white bread with lettuce and tomato",-brand -dish/prepared,Subway tuna sub sandwich,
DROP,DROP,Y,,0.65,Y,0.02,,other,28,sr28,36018,"APPLEBEE'S, fish, hand battered",,"Applebee's battered fish, restaurant",
DROP,DROP,,,0.05,,0.02,,other,28,sr28,18228,"Crackers, saltines (includes oyster, soda, soup)",-dish/prepared,"Saltine crackers, grain product",plant
DROP,DROP,,,0.05,,0.02,,other,26,fdc_sr_legacy,174098,"Crackers, flavored, fish-shaped",-dish/prepared,"Fish-shaped crackers, grain snack",plant
DROP,DROP,Y,,0.65,Y,0.02,,other,28,fdc_sr_legacy,169017,"APPLEBEE'S, fish, hand battered",,Applebee's battered fish,
DROP,DROP,,,0.05,,0.02,,other,26,sr28,28331,"Crackers, flavored, fish-shaped",-dish/prepared,"Fish-shaped crackers, grain snack",plant
DROP,DROP,,Y,0.00,,0.02,,other,25,sr28,21105,"Fast foods, fish sandwich, with tartar sauce",-fastfood/babyfood/restaurant -dish/prepared -multi-ingredient,Fast food fish sandwich,
DROP,DROP,,Y,0.00,,0.02,,other,19,fdc_sr_legacy,170297,"Fast foods, fish sandwich, with tartar sauce and cheese",-fastfood/babyfood/restaurant -dish/prepared -multi-ingredient,Fast food fish sandwich,
DROP,DROP,,Y,0.00,,0.02,,other,19,fdc_sr_legacy,170296,"Fast foods, fish sandwich, with tartar sauce",-fastfood/babyfood/restaurant -dish/prepared -multi-ingredient,Fast food fish sandwich,
DROP,DROP,,Y,0.00,,0.02,,other,30,sr28,36620,"Restaurant, Chinese, shrimp and vegetables",-fastfood/babyfood/restaurant,Restaurant shrimp and vegetables dish,
DROP,DROP,,,0.05,,0.02,,other,19,fdc_sr_legacy,168075,"CRACKER BARREL, farm raised catfish platter",-dish/prepared,Cracker Barrel catfish platter,
DROP,DROP,,Y,0.00,,0.02,,other,28,sr28,21126,"Fast foods, submarine sandwich, tuna on white bread with lettuce and tomato",-fastfood/babyfood/restaurant -dish/prepared,Fast food tuna submarine sandwich,
DROP,DROP,,Y,0.05,,0.05,,other,3,sr28,15138,"Crustaceans, crab, alaska king, imitation, made from surimi",-imitation,"Imitation crab surimi, processed",
DROP,DROP,,Y,0.05,,0.05,,other,11,sr28,15153,"Crustaceans, shrimp, mixed species, imitation, made from surimi",-imitation,"Imitation shrimp surimi, processed",
DROP,DROP,Y,,0.65,Y,0.05,,other,31,sr28,15027,"Fish, fish sticks, frozen, prepared",,"Breaded fish sticks, composite",
DROP,DROP,Y,,0.65,Y,0.05,,other,31,fdc_sr_legacy,174195,"Fish, fish sticks, frozen, prepared",,"Breaded fish sticks, composite",
DROP,DROP,,Y,0.05,,0.05,,other,10,sr28,15174,"Mollusks, scallop, mixed species, imitation, made from surimi",-imitation,Imitation scallop from surimi,
DROP,DROP,Y,,0.65,Y,0.15,,other,10,sr28,15109,"Fish, surimi",,"Surimi, processed fish paste",
KEEP,KEEP,,,0.65,Y,0.80,Y,other,8,fdc_sr_legacy,167643,"Fish, whitefish, eggs (Alaska Native)",,"Whitefish roe, single fish product",
KEEP,KEEP,,,0.65,Y,0.85,Y,other,8,sr28,35158,"Fish, whitefish, eggs (Alaska Native)",,"Whitefish eggs/roe, single fish product",
KEEP,KEEP,,,0.65,Y,0.90,Y,other,15,fdc_foundation,2684446,"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",,"Crab lump, clean seafood",
KEEP,KEEP,,,0.65,Y,0.95,Y,other,14,fdc_foundation,2747670,"Snow crab, legs only, frozen",,Plain frozen snow crab legs,
KEEP,KEEP,,,0.65,Y,0.95,Y,other,14,fdc_foundation,2747657,"Lobster, tail only, frozen, wild caught",,Plain frozen wild lobster tail,
KEEP,KEEP,,,0.65,Y,0.95,Y,other,13,fdc_foundation,2747671,"Squid (calamari), frozen, tubes only",,"Squid tubes, clean seafood",
KEEP,KEEP,,,0.65,Y,0.95,Y,other,11,fdc_foundation,2747668,"Sea bass, Chilean, frozen, wild caught",,"Chilean sea bass, single fish",
KEEP,KEEP,,,0.65,Y,0.95,Y,other,12,fdc_foundation,2747654,"Cod, Pacific or Alaskan, frozen, wild caught",,"Frozen wild cod, clean",
KEEP,KEEP,,,0.65,Y,0.95,Y,other,13,fdc_foundation,2747669,"Snapper, frozen, wild caught",,"Frozen wild snapper, clean",
KEEP,KEEP,,,0.65,Y,0.97,Y,other,13,fdc_foundation,2747673,"Tuna, ahi or yellowfin, frozen, wild caught",,Plain frozen wild tuna,
KEEP,KEEP,,,0.65,Y,0.97,Y,other,11,fdc_foundation,2747656,"Halibut, frozen, wild caught",,Plain frozen wild halibut,
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,11,sr28,15107,"Fish, sucker, white, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,16,sr28,15270,"Crustaceans, shrimp, raw (not previously frozen)",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,8,sr28,15154,"Crustaceans, spiny lobster, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,11,sr28,15043,"Fish, herring, Pacific, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,6,sr28,15049,"Fish, mackerel, king, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,18,sr28,15078,"Fish, salmon, chinook, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,5,sr28,15091,"Fish, sea bass, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,6,sr28,15175,"Mollusks, squid, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,4,sr28,15003,"Fish, bass, fresh water, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,fdc_sr_legacy,173684,"Fish, rockfish, Pacific, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,21,sr28,15115,"Fish, trout, rainbow, wild, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,25,sr28,15261,"Fish, tilapia, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,fdc_sr_legacy,167638,"Fish, halibut, raw, with skin (Alaska Native)",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,13,sr28,15068,"Fish, pompano, florida, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,28,sr28,15019,"Fish, cod, Pacific, raw (may have been previously frozen)",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,11,sr28,15031,"Fish, grouper, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
