final,and_rule,disagree,hard_veto,kw_score,kw_keep,llm_score,llm_keep,prep,n_obs,source_dataset,source_food_id,description,kw_reasons,llm_reason,wrong_class
DROP,DROP,,Y,0.00,,0.02,,other,26,fdc_sr_legacy,173268,"Fast foods, biscuit, with crispy chicken fillet",+cut/part -fastfood/babyfood/restaurant -dish/prepared,Fast food biscuit with chicken,
DROP,DROP,,Y,0.00,,0.02,,other,27,fdc_sr_legacy,170711,"SUBWAY, turkey breast sub on white bread with lettuce and tomato",+cut/part -brand -dish/prepared,"SUBWAY sub sandwich, composite",
DROP,DROP,,Y,0.00,,0.02,,other,27,sr28,21155,"Fast foods, submarine sandwich, turkey breast on white bread with lettuce and tomato",+cut/part -fastfood/babyfood/restaurant -dish/prepared,"Submarine sandwich, composite dish",
DROP,DROP,,Y,0.00,,0.02,,other,28,fdc_sr_legacy,170713,"SUBWAY, roast beef sub on white bread with lettuce and tomato",-brand -dish/prepared,"Branded sub sandwich, composite",
DROP,DROP,,Y,0.00,,0.02,,other,28,sr28,21210,"SUBWAY, roast beef sub on white bread with lettuce and tomato",-brand -dish/prepared,"SUBWAY sub sandwich, composite",
DROP,DROP,,Y,0.00,,0.02,,other,27,fdc_sr_legacy,170706,"Fast foods, submarine sandwich, turkey breast on white bread with lettuce and tomato",+cut/part -fastfood/babyfood/restaurant -dish/prepared,Fast foods submarine sandwich,
DROP,DROP,,Y,0.00,,0.02,,other,25,sr28,21527,"ARBY'S, roast beef sandwich, classic",-brand -dish/prepared,"Arby's sandwich, composite",
DROP,DROP,,Y,0.00,,0.02,,other,28,sr28,21125,"Fast foods, submarine sandwich, roast beef on white bread with lettuce and tomato",-fastfood/babyfood/restaurant -dish/prepared,Fast food submarine sandwich,
DROP,DROP,,Y,0.00,,0.02,,other,25,sr28,21102,"Fast foods, chicken fillet sandwich, plain with pickles",+cut/part -fastfood/babyfood/restaurant -dish/prepared,Fast food chicken sandwich,
DROP,DROP,,Y,0.00,,0.02,,other,26,sr28,21010,"Fast foods, biscuit, with crispy chicken fillet",+cut/part -fastfood/babyfood/restaurant -dish/prepared,Fast food biscuit chicken composite,
DROP,DROP,,Y,0.00,,0.03,,other,12,sr28,3010,"Babyfood, meat, lamb, strained",-fastfood/babyfood/restaurant,Babyfood strained meat,
DROP,DROP,,Y,0.00,,0.03,,other,10,sr28,3013,"Babyfood, meat, chicken, junior",-fastfood/babyfood/restaurant,Babyfood chicken,
DROP,DROP,,Y,0.00,,0.03,,other,9,sr28,3014,"Babyfood, meat, chicken sticks, junior",-fastfood/babyfood/restaurant,Babyfood chicken sticks,
DROP,DROP,,Y,0.00,,0.03,,other,27,sr28,21207,"SUBWAY, turkey breast sub on white bread with lettuce and tomato",+cut/part -brand -dish/prepared,SUBWAY sandwich composite dish,
DROP,DROP,,Y,0.00,,0.03,,other,29,sr28,21153,"Fast foods, submarine sandwich, turkey, roast beef and ham on white bread with lettuce and tomato",-fastfood/babyfood/restaurant -dish/prepared,Fast-food submarine sandwich composite,
DROP,DROP,,Y,0.00,,0.03,,other,28,fdc_sr_legacy,170298,"Fast foods, submarine sandwich, roast beef on white bread with lettuce and tomato",-fastfood/babyfood/restaurant -dish/prepared,Fast food submarine sandwich,
