final,and_rule,disagree,hard_veto,kw_score,kw_keep,llm_score,llm_keep,prep,n_obs,source_dataset,source_food_id,description,kw_reasons,llm_reason,wrong_class
DROP,DROP,,Y,0.25,,0.03,,other,8,sr28,7041,"Liver sausage, liverwurst, pork",+cut/part -processed-meat,"Liverwurst sausage, processed",
DROP,DROP,,Y,0.25,,0.04,,other,13,sr28,7014,"Braunschweiger (a liver sausage), pork",+cut/part -processed-meat,"Braunschweiger liver sausage, processed",
DROP,DROP,Y,,0.75,Y,0.05,,other,21,sr28,7040,"Liver cheese, pork",+cut/part,"Liver cheese, processed meat product",
KEEP,KEEP,,,1.00,Y,1.00,Y,raw,17,sr28,17220,"Lamb, variety meats and by-products, tongue, raw",+raw +cut/part,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,1.00,Y,1.00,Y,raw,17,sr28,5025,"Chicken, heart, all classes, raw",+raw +cut/part,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,1.00,Y,1.00,Y,raw,10,sr28,5150,"Goose, liver, raw",+raw +cut/part,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,1.00,Y,1.00,Y,raw,24,sr28,10110,"Pork, fresh, variety meats and by-products, liver, raw",+raw +cut/part,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,22,sr28,17195,"Lamb, variety meats and by-products, kidneys, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,12,sr28,10096,"Pork, fresh, variety meats and by-products, brain, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,1.00,Y,1.00,Y,raw,23,sr28,10103,"Pork, fresh, variety meats and by-products, heart, raw",+raw +cut/part,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,1.00,Y,1.00,Y,raw,9,sr28,13339,"Beef, variety meats and by-products, tongue, raw",+raw +cut/part,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,1,fdc_sr_legacy,169449,"Beef, variety meats and by-products, kidneys, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,1.00,Y,1.00,Y,raw,25,fdc_sr_legacy,172534,"Veal, variety meats and by-products, liver, raw",+raw +cut/part,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,1.00,Y,1.00,Y,raw,7,sr28,17199,"Lamb, variety meats and by-products, liver, raw",+raw +cut/part,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,1.00,Y,1.00,Y,raw,22,fdc_sr_legacy,171085,"Turkey, gizzard, all classes, raw",+raw +cut/part,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,1.00,Y,1.00,Y,raw,25,sr28,17202,"Veal, variety meats and by-products, liver, raw",+raw +cut/part,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,1.00,Y,1.00,Y,raw,25,fdc_sr_legacy,169451,"Beef, variety meats and by-products, liver, raw",+raw +cut/part,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,1.00,Y,1.00,Y,raw,26,sr28,13325,"Beef, variety meats and by-products, liver, raw",+raw +cut/part,slam-dunk keep (not sent to LLM),
