final,and_rule,disagree,hard_veto,kw_score,kw_keep,llm_score,llm_keep,prep,n_obs,source_dataset,source_food_id,description,kw_reasons,llm_reason,wrong_class
DROP,DROP,,Y,0.00,,0.01,,other,28,sr28,21213,"SUBWAY, cold cut sub on white bread with lettuce and tomato",-brand -dish/prepared,Branded sub sandwich,
DROP,DROP,,Y,0.00,,0.01,,other,27,fdc_sr_legacy,170707,"Fast foods, submarine sandwich, ham on white bread with lettuce and tomato",-fastfood/babyfood/restaurant -dish/prepared,Fast food sandwich,
DROP,DROP,,Y,0.00,,0.01,,other,27,sr28,21209,"SUBWAY, black forest ham sub on white bread with lettuce and tomato",-brand -dish/prepared,Branded sub sandwich,
DROP,DROP,,Y,0.00,,0.01,,other,27,fdc_sr_legacy,170313,"Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread",-fastfood/babyfood/restaurant -dish/prepared,Fast food BLT sandwich,
DROP,DROP,,Y,0.00,,0.01,,other,25,sr28,21264,"TACO BELL, Bean Burrito",-brand -dish/prepared,Branded bean burrito dish,
DROP,DROP,,Y,0.00,,0.01,,other,26,fdc_sr_legacy,169028,"Restaurant, family style, chili with meat and beans",-fastfood/babyfood/restaurant,Restaurant chili dish,
DROP,DROP,,Y,0.00,,0.01,,other,25,fdc_sr_legacy,170734,"TACO BELL, Bean Burrito",-brand -dish/prepared,Branded bean burrito dish,
DROP,DROP,,Y,0.00,,0.01,,other,27,sr28,21156,"Fast foods, submarine sandwich, ham on white bread with lettuce and tomato",-fastfood/babyfood/restaurant -dish/prepared,Fast food ham sandwich,
DROP,DROP,,Y,0.00,,0.01,,other,27,sr28,21162,"Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread",-fastfood/babyfood/restaurant -dish/prepared,Fast-food submarine sandwich,
DROP,DROP,,Y,0.00,,0.01,,other,29,sr28,21152,"SUBWAY, SUBWAY CLUB sub on white bread with lettuce and tomato",-brand -dish/prepared,"SUBWAY sub sandwich, branded fast food",
DROP,DROP,,Y,0.00,,0.01,,other,25,fdc_sr_legacy,172049,"LITTLE CAESARS 14"" Original Round Meat and Vegetable Pizza, Regular Crust",+cut/part -brand -dish/prepared,"Little Caesars pizza, branded fast food",
DROP,DROP,,Y,0.00,,0.01,,other,27,sr28,21161,"SUBWAY, B.L.T. sub on white bread with bacon, lettuce and tomato",-brand -dish/prepared -multi-ingredient,"SUBWAY BLT sub, branded fast food",
DROP,DROP,,Y,0.00,,0.01,,other,28,sr28,21304,"Fast Food, Pizza Chain, 14"" pizza, meat and vegetable topping, regular crust",-fastfood/babyfood/restaurant -dish/prepared,"Fast food pizza, composite",
DROP,DROP,,Y,0.00,,0.02,,other,3,sr28,3127,"Babyfood, vegetables, spinach, creamed, strained",-fastfood/babyfood/restaurant,"Babyfood, creamed composite",
DROP,DROP,,Y,0.00,,0.02,,other,24,fdc_sr_legacy,171371,"Babyfood, GERBER, GRADUATES Lil Biscuits Vanilla Wheat",-fastfood/babyfood/restaurant -brand -dish/prepared,Babyfood branded biscuit,
DROP,DROP,,Y,0.00,,0.02,,other,21,sr28,3023,"Finger snacks, GERBER GRADUATE PUFFS, apple and cinnamon",-brand -dish/prepared,Branded babyfood snack,
DROP,DROP,,Y,0.00,,0.02,,other,27,fdc_sr_legacy,170712,"SUBWAY, black forest ham sub on white bread with lettuce and tomato",-brand -dish/prepared,"SUBWAY branded sandwich, composite",
DROP,DROP,,Y,0.00,,0.02,,other,29,fdc_sr_legacy,170307,"SUBWAY, SUBWAY CLUB sub on white bread with lettuce and tomato",-brand -dish/prepared,"SUBWAY branded sub, composite",
DROP,DROP,,Y,0.00,,0.02,,other,28,fdc_sr_legacy,170315,"SUBWAY, cold cut sub on white bread with lettuce and tomato",-brand -dish/prepared,"SUBWAY cold cut sub, composite",
DROP,DROP,,Y,0.00,,0.02,,other,27,fdc_sr_legacy,170312,"SUBWAY, B.L.T. sub on white bread with bacon, lettuce and tomato",-brand -dish/prepared -multi-ingredient,"SUBWAY BLT sub with bacon, composite",
DROP,DROP,,,0.05,,0.02,,other,21,fdc_sr_legacy,171834,"Dip, FRITO'S, bean, original flavor",-dish/prepared,"Branded bean dip, prepared product",
DROP,DROP,,Y,0.00,,0.02,,other,27,sr28,36411,"Restaurant, Latino, tamale, corn",-fastfood/babyfood/restaurant,"Restaurant tamale, composite dish",
DROP,DROP,Y,,0.65,Y,0.02,,other,27,sr28,18938,"Toaster Pastries, fruit, frosted (include apples, blueberry, cherry, strawberry)",,"Toaster pastry, prepared",
DROP,DROP,Y,,0.65,Y,0.02,,other,27,fdc_sr_legacy,173345,"Corn dogs, frozen, prepared",,"Composite corn dog, prepared",
DROP,DROP,Y,,0.65,Y,0.02,,other,16,fdc_sr_legacy,167928,"Toaster pastries, fruit, toasted (include apple, blueberry, cherry, strawberry)",,"Toaster pastry, prepared",
DROP,DROP,Y,,0.65,Y,0.02,,other,24,sr28,36044,"ON THE BORDER, Mexican rice",,Branded seasoned rice dish,
DROP,DROP,,Y,0.00,,0.02,,other,6,sr28,3129,"Babyfood, fruit, bananas with tapioca, strained",-fastfood/babyfood/restaurant,Babyfood with tapioca,
DROP,DROP,,,0.05,,0.02,,other,15,sr28,18443,"Pie, apple, commercially prepared, unenriched flour",-dish/prepared,Composite apple pie,
DROP,DROP,,,0.05,,0.02,,other,18,sr28,19004,"Snacks, corn-based, extruded, chips, barbecue-flavor",-dish/prepared,Flavored extruded corn snack,
DROP,DROP,,Y,0.00,,0.02,,other,28,fdc_sr_legacy,167661,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",-fastfood/babyfood/restaurant,Restaurant pupusa dish,
DROP,DROP,,Y,0.00,,0.02,,other,4,sr28,3171,"Babyfood, juice, apple and prune",-fastfood/babyfood/restaurant,Babyfood juice blend,
DROP,DROP,,,0.05,,0.02,,other,3,sr28,6122,"Gravy, mushroom, dry, powder",-dish/prepared,"Gravy powder, composite",
DROP,DROP,,Y,0.00,,0.02,,other,22,sr28,19441,"Snacks, KELLOGG'S, NUTRI-GRAIN Cereal Bars, fruit",-brand -dish/prepared,Branded cereal bar,
DROP,DROP,,Y,0.00,,0.02,,other,28,fdc_sr_legacy,170696,"Fast foods, submarine sandwich, cold cut on white bread with lettuce and tomato",-fastfood/babyfood/restaurant -dish/prepared,"Fast food submarine sandwich, composite",
DROP,DROP,Y,,0.65,Y,0.02,,other,5,fdc_sr_legacy,171944,"Beverages, Fruit flavored drink, reduced sugar, greater than 3% fruit juice, high vitamin C, added calcium",,"Fruit-flavored drink with added nutrients, composite beverage",
DROP,DROP,,Y,0.00,,0.02,,other,21,fdc_sr_legacy,168084,"Restaurant, Chinese, vegetable chow mein, without meat or noodles",-fastfood/babyfood/restaurant -dish/prepared,"Restaurant vegetable chow mein, composite dish",
DROP,DROP,,Y,0.00,,0.02,,other,6,sr28,3233,"Babyfood, dessert, fruit pudding, pineapple, strained",-fastfood/babyfood/restaurant -dish/prepared,Babyfood fruit pudding dessert,
DROP,DROP,,Y,0.00,,0.02,,other,1,sr28,3174,"Babyfood, juice, orange and apple and banana",-fastfood/babyfood/restaurant,Babyfood mixed fruit juice,
DROP,DROP,,Y,0.00,,0.02,,other,27,fdc_sr_legacy,167664,"Restaurant, Latino, tamale, corn",-fastfood/babyfood/restaurant,"Restaurant corn tamale, composite dish",
DROP,DROP,,,0.05,,0.02,,other,24,fdc_sr_legacy,172787,"Pie, pumpkin, commercially prepared",-dish/prepared,"Commercial pumpkin pie, composite dessert",
DROP,DROP,Y,,0.65,Y,0.02,,other,24,fdc_sr_legacy,168952,"Rice and vermicelli mix, rice pilaf flavor, prepared with 80% margarine",,Rice-vermicelli pilaf mix with margarine,
DROP,DROP,,Y,0.00,,0.02,,other,28,sr28,36413,"Restaurant, Latino, black bean soup",-fastfood/babyfood/restaurant -dish/prepared,Restaurant black bean soup,
DROP,DROP,,Y,0.00,,0.02,,other,3,sr28,3134,"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",-fastfood/babyfood/restaurant,Babyfood plums with tapioca,
