score,decision,prep,n_obs,source_dataset,source_food_id,description,reasons
0.0,drop,other,3,sr28,3127,"Babyfood, vegetables, spinach, creamed, strained",-fastfood/babyfood/restaurant
0.0,drop,other,24,fdc_sr_legacy,171371,"Babyfood, GERBER, GRADUATES Lil Biscuits Vanilla Wheat",-fastfood/babyfood/restaurant -brand -dish/prepared
0.0,drop,other,28,sr28,21213,"SUBWAY, cold cut sub on white bread with lettuce and tomato",-brand -dish/prepared
0.0,drop,other,27,fdc_sr_legacy,170707,"Fast foods, submarine sandwich, ham on white bread with lettuce and tomato",-fastfood/babyfood/restaurant -dish/prepared
0.0,drop,other,27,sr28,21209,"SUBWAY, black forest ham sub on white bread with lettuce and tomato",-brand -dish/prepared
0.0,drop,other,1,sr28,3166,"Babyfood, juice, apple",-fastfood/babyfood/restaurant
0.0,drop,other,3,sr28,3159,"Babyfood, fruit, pears and pineapple, junior",-fastfood/babyfood/restaurant
0.0,drop,other,1,sr28,8028,"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN COMPLETE Wheat Flakes",-brand -dish/prepared
0.0,drop,other,6,sr28,4029,"Salad dressing, mayonnaise, imitation, soybean without cholesterol",-dish/prepared -imitation
0.0,drop,other,27,fdc_sr_legacy,170313,"Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread",-fastfood/babyfood/restaurant -dish/prepared
0.0,drop,other,25,sr28,21264,"TACO BELL, Bean Burrito",-brand -dish/prepared
0.0,drop,other,22,fdc_sr_legacy,170969,"Babyfood, cereal, rice, dry fortified",-fastfood/babyfood/restaurant -dish/prepared
0.0,drop,other,26,fdc_sr_legacy,169028,"Restaurant, family style, chili with meat and beans",-fastfood/babyfood/restaurant
0.0,drop,other,21,sr28,3023,"Finger snacks, GERBER GRADUATE PUFFS, apple and cinnamon",-brand -dish/prepared
0.0,drop,other,1,sr28,3268,"Babyfood, juice, apple and cherry",-fastfood/babyfood/restaurant
0.0,drop,other,4,sr28,3176,"Babyfood, juice, orange and banana",-fastfood/babyfood/restaurant
0.0,drop,other,25,fdc_sr_legacy,170734,"TACO BELL, Bean Burrito",-brand -dish/prepared
0.0,drop,other,27,sr28,21156,"Fast foods, submarine sandwich, ham on white bread with lettuce and tomato",-fastfood/babyfood/restaurant -dish/prepared
0.0,drop,other,4,sr28,3152,"Babyfood, fruit, apple and raspberry, strained",-fastfood/babyfood/restaurant
0.0,drop,other,3,sr28,3128,"Babyfood, fruit, apricot with tapioca, junior",-fastfood/babyfood/restaurant
0.0,drop,other,17,fdc_sr_legacy,170939,"Babyfood, vegetables, peas, strained",-fastfood/babyfood/restaurant
0.0,drop,other,21,fdc_sr_legacy,172252,"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon",-fastfood/babyfood/restaurant -brand -dish/prepared
0.0,drop,other,28,sr28,36408,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",-fastfood/babyfood/restaurant
0.0,drop,other,24,sr28,36406,"Restaurant, Latino, Arroz con habichuelas colorados (Rice And Red Beans)",-fastfood/babyfood/restaurant
0.0,drop,other,5,sr28,3118,"Babyfood, fruit, apricot with tapioca, strained",-fastfood/babyfood/restaurant
0.0,drop,other,1,sr28,3119,"Babyfood, vegetables, corn, creamed, strained",-fastfood/babyfood/restaurant
0.0,drop,other,1,sr28,3117,"Babyfood, fruit, applesauce, junior",-fastfood/babyfood/restaurant
0.0,drop,other,1,sr28,3137,"Babyfood, fruit, prunes with tapioca, without ascorbic acid, junior",-fastfood/babyfood/restaurant
0.0,drop,other,2,sr28,3165,"Babyfood, fruit, apple and blueberry, junior",-fastfood/babyfood/restaurant
0.0,drop,other,3,sr28,3236,"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",-fastfood/babyfood/restaurant -dish/prepared
0.0,drop,other,2,sr28,3173,"Babyfood, juice, orange and apple",-fastfood/babyfood/restaurant
