nutrient_id,fediaf_nutrient_name,unit,zinc gluconate powder now
1003,Crude Protein,g,
1220,Arginine,g,
1221,Histidine,g,
1212,Isoleucine,g,
1213,Leucine,g,
1214,Lysine,g,
1215,Methionine,g,
1216,Cystine,g,
1217,Phenylalanine,g,
1218,Tyrosine,g,
1211,Threonine,g,
1210,Tryptophan,g,
1219,Valine,g,
1234,Taurine,mg,
1004,Total Fat,g,0.00478
1269,Linoleic acid,g,
1271,Arachidonic acid,g,
1270,Alpha-linolenic acid,g,
1278,EPA,g,
1272,DHA,g,
1293,"Fatty acids, total polyunsaturated",g,
1280,DPA 22:5 n-3,g,
1087,Calcium,mg,
1091,Phosphorus,mg,
1092,Potassium,mg,
1093,Sodium,mg,
1088,Chloride,mg,
1090,Magnesium,mg,0.225
1089,Iron,mg,
1098,Copper,mg,
1101,Manganese,mg,
1095,Zinc,mg,50
1100,Iodine,µg,
1103,Selenium,µg,
1106,Vitamin A,IU,
1110,Vitamin D,IU,
1109,Vitamin E,IU,
1185,Vitamin K,µg,
1165,Thiamin,mg,
1166,Riboflavin,mg,
1167,Niacin,mg,
1170,Pantothenic acid,mg,
1175,Pyridoxine,mg,
1177,Folic acid,µg,
1178,Cobalamin,µg,
1176,Biotin,µg,
1180,Choline,mg,
1008,Energy,kcal,
1051,Water,g,
1007,Ash,g,
1079,Crude Fiber,g,0.22
1005,Carbohydrate,g,
